Date,player_name,Reason
2017-11-27,London Perrantes,placed on IL
2017-11-27,Ike Anigbogu,placed on IL
2017-11-28,Sterling Brown,placed on IL
2017-11-28,Iman Shumpert,placed on IL with left knee effusion
2017-11-28,Wilson Chandler,placed on IL with sore lower back
2017-11-29,Jahlil Okafor,placed on IL
2017-11-29,Mario Chalmers,placed on IL with sore right ankle
2017-11-29,Kemba Walker,placed on IL with bruised left shoulder
2017-11-29,Frank Ntilikina,placed on IL with sprained left ankle
2017-11-29,Joakim Noah,placed on IL
2017-11-29,Kyle Kuzma,placed on IL with back spasms
2017-11-29,Alex Poythress,placed on IL
2017-11-29,Alec Peters,placed on IL
2017-11-29,David West,placed on IL with sore left knee
2017-11-29,Troy Williams,placed on IL
2017-11-29,Quinn Cook,placed on IL
2017-11-30,Joel Embiid,placed on IL
2017-11-30,T.J. McConnell,placed on IL with bruised/sprained left shoulder
2017-11-30,Caleb Swanigan,placed on IL
2017-11-30,Jabari Bird,placed on IL
2017-11-30,Blake Griffin,placed on IL with sprained MCL in left knee
2017-11-30,Dewayne Dedmon,placed on IL with stress reaction in left tibia
2017-11-30,Tyler Dorsey,placed on IL
2017-11-30,Raulzinho Neto,placed on IL with sore left hamstring
2017-12-01,Ivan Rabb,placed on IL
2017-12-01,Kobi Simmons,placed on IL
2017-12-01,Derrick Walton Jr.,placed on IL
2017-12-01,Rodney Hood,placed on IL with sore left ankle
2017-12-01,Malachi Richardson,placed on IL
2017-12-01,Terrence Ross,placed on IL with sprained MCL in right knee and fractured right leg
2017-12-01,Lucas Nogueira,placed on IL with strained right calf
2017-12-01,Anthony Brown,placed on IL
2017-12-01,Andre Iguodala,placed on IL with sore left knee
2017-12-02,Furkan Korkmaz,placed on IL
2017-12-02,James Michael McAdoo,placed on IL
2017-12-02,Justin Anderson,placed on IL with shin splints in left leg
2017-12-02,Zach Collins,placed on IL
2017-12-02,Brandan Wright,placed on IL with sore right groin
2017-12-02,Chandler Parsons,placed on IL with sore right knee
2017-12-02,Mike Muscala,placed on IL with sprained left ankle
2017-12-02,Justin Jackson (Aaron),placed on IL
2017-12-02,Ivica Zubac,placed on IL
2017-12-02,Nikola Jokic,placed on IL with sprained left ankle
2017-12-02,Torrey Craig,placed on IL
2017-12-02,JaKarr Sampson,placed on IL
2017-12-03,Kristaps Porzingis,placed on IL with sprained right ankle
2017-12-03,Tim Hardaway Jr.,placed on IL with sore left leg
2017-12-03,Thomas Bryant,placed on IL
2017-12-03,Khem Birch,placed on IL
2017-12-03,Rudy Gay,placed on IL with sore right ankle/heel
2017-12-03,Dakari Johnson,placed on IL
2017-12-04,Antonio Blakeney,placed on IL
2017-12-04,Ivan Rabb,placed on IL
2017-12-04,Kobi Simmons,placed on IL
2017-12-04,John Collins (Martin),placed on IL with left shoulder injury
2017-12-04,Josh Magette,placed on IL
2017-12-04,Julyan Stone,placed on IL
2017-12-04,Nate Wolters,placed on IL
2017-12-04,Tony Bradley,placed on IL
2017-12-04,Isaiah Whitehead,placed on IL
2017-12-04,Tyler Lydon,placed on IL
2017-12-04,Kyle Anderson,placed on IL with sprained MCL in left knee
2017-12-04,John Holland,placed on IL
2017-12-05,Caleb Swanigan,placed on IL
2017-12-05,Kyle Singler,placed on IL
2017-12-06,Jason Terry,placed on IL with strained left knee
2017-12-06,Jaylen Brown,placed on IL with right eye inflammation
2017-12-06,Brice Johnson,placed on IL
2017-12-06,Ron Baker,placed on IL
2017-12-06,Draymond Green,placed on IL with sore right shoulder
2017-12-06,Stephen Curry,placed on IL with sprained right ankle
2017-12-07,Tony Bradley,placed on IL
2017-12-07,Thomas Bryant,placed on IL
2017-12-07,Devin Booker,placed on IL with strained adductor in left groin
2017-12-07,Jerami Grant,placed on IL with bruised left hip
2017-12-07,Paul George,placed on IL with bruised right calf
2017-12-08,Kahlil Felder,placed on IL
2017-12-08,Cody Zeller,placed on IL with torn meniscus in left knee
2017-12-08,Skal Labissiere,placed on IL
2017-12-08,Willie Cauley-Stein,placed on IL with strained lower back
2017-12-08,Dennis Smith Jr.,placed on IL with strained left hip
2017-12-08,Patrick McCaw,placed on IL with concussion
2017-12-09,Jusuf Nurkic,placed on IL with right ankle injury
2017-12-09,Maurice Harkless,placed on IL with left quadriceps injury
2017-12-09,Frank Kaminsky,placed on IL with sprained right ankle
2017-12-09,Jeremy Lamb,placed on IL with bruised shin
2017-12-09,Joakim Noah,placed on IL
2017-12-09,Evan Fournier,placed on IL with sprained right ankle (DTD)
2017-12-09,Briante Weber,placed on IL
2017-12-10,Robert Covington,placed on IL with bruised lower back
2017-12-10,Jack Cooley,placed on IL
2017-12-10,Nerlens Noel,placed on IL recovering form surgery on thumb
2017-12-11,Kyrie Irving,placed on IL with bruised quadriceps
2017-12-11,Danilo Gallinari,placed on IL with bruised left gluteus muscle
2017-12-11,Nicolas Batum,placed on IL with sore left elbow
2017-12-11,Jameer Nelson (Sr.),placed on IL with left ankle injury
2017-12-11,Tony Allen,placed on IL with fractured fibula in left leg
2017-12-11,Andre Roberson,placed on IL with sprained left ankle
2017-12-11,Draymond Green,placed on IL with sore right shoulder
2017-12-11,Zaur Pachulia,placed on IL with sore left shoulder
2017-12-12,Jacob Pullen,placed on IL
2017-12-12,JaKarr Sampson,placed on IL
2017-12-12,Darrun Hilliard,placed on IL
2017-12-12,Derrick White,placed on IL
2017-12-12,Matt Costello,placed on IL
2017-12-13,Julyan Stone,placed on IL
2017-12-13,Raulzinho Neto,placed on IL with concussion
2017-12-13,Aaron Gordon,placed on IL with concussion
2017-12-13,Monte Morris,placed on IL
2017-12-13,Will Barton,placed on IL with bruised lower back
2017-12-13,Demetrius Jackson,placed on IL
2017-12-14,Georgios Papagiannis,placed on IL
2017-12-15,Furkan Korkmaz,placed on IL
2017-12-15,Caleb Swanigan,placed on IL
2017-12-15,Joel Bolomboy,placed on IL
2017-12-15,Lauri Markkanen,placed on IL with back spasms
2017-12-15,Jabari Bird,placed on IL
2017-12-15,Kadeem Allen,placed on IL
2017-12-15,Austin Rivers,placed on IL with concussion
2017-12-15,Tyreke Evans,placed on IL with sore right hip
2017-12-15,Mangok Mathiang,placed on IL
2017-12-15,Arron Afflalo,placed on IL with back spasms
2017-12-15,Khem Birch,placed on IL
2017-12-15,Juancho Hernangomez,placed on IL
2017-12-15,Luc Richard Mbah a Moute,placed on IL with dislocated right shoulder
2017-12-15,Kyle Singler,placed on IL
2017-12-16,Ivan Rabb,placed on IL
2017-12-16,Kristaps Porzingis,placed on IL with sore left knee
2017-12-16,Steven Adams,placed on IL with concussion
2017-12-17,London Perrantes,placed on IL
2017-12-17,De'Aaron Fox,placed on IL with bruised right quadriceps
2017-12-17,Aaron Gordon,placed on IL with strained right calf (DTD)
2017-12-17,Ike Anigbogu,placed on IL
2017-12-17,T.J. Leaf,placed on IL
2017-12-17,Serge Ibaka,placed on IL with sore left knee (DTD)
2017-12-18,Trevor Booker,placed on IL with sprained left ankle
2017-12-18,Treveon Graham,placed on IL with back spasms
2017-12-18,Ivica Zubac,placed on IL
2017-12-18,Emmanuel Mudiay,placed on IL with right ankle injury
2017-12-18,Darrun Hilliard,placed on IL
2017-12-18,Derrick White,placed on IL
2017-12-18,Shaun Livingston,placed on IL with sore right knee
2017-12-19,D.J. Wilson,placed on IL
2017-12-19,Jalen Jones,placed on IL
2017-12-19,Otto Porter Jr.,placed on IL with bruised right thigh
2017-12-20,Brice Johnson,placed on IL
2017-12-20,Tyler Dorsey,placed on IL
2017-12-20,Hassan Whiteside,placed on IL with bone bruise in left knee
2017-12-20,Rudy Gobert,placed on IL with sprained left knee
2017-12-20,De'Aaron Fox,placed on IL with bruised right quadriceps
2017-12-20,Brook Lopez,placed on IL with sprained right ankle
2017-12-20,Johnathan Motley,placed on IL
2017-12-20,Isaiah Whitehead,placed on IL
2017-12-20,Milton Doyle,placed on IL
2017-12-20,Gary Harris,placed on IL with right elbow injury
2017-12-20,C.J. Miles,placed on IL with dental procedure
2017-12-20,Lorenzo Brown,placed on IL
2017-12-20,Kyle Singler,placed on IL
2017-12-21,J.J. Redick,placed on IL with tightness in right hamstring
2017-12-21,Shane Larkin,placed on IL with sore left knee
2017-12-21,Marc Gasol,placed on IL with tightness in right groin
2017-12-21,Vincent Hunter,placed on IL
2017-12-21,Joakim Noah,placed on IL
2017-12-21,Alfonzo McKinnie,placed on IL
2017-12-21,Erik McCree,placed on IL
2017-12-22,Julyan Stone,placed on IL
2017-12-22,Mangok Mathiang,placed on IL
2017-12-22,Damyean Dotson,placed on IL
2017-12-22,Monte Morris,placed on IL
2017-12-22,Damian Jones,placed on IL with strained right hamstring
2017-12-23,Noah Vonleh,placed on IL with dislocated finger on right hand
2017-12-23,Giannis Antetokounmpo,placed on IL with sore right knee
2017-12-23,JaMychal Green,placed on IL with sore right knee
2017-12-23,Brandon Ingram,placed on IL with tendinitis in left quadriceps
2017-12-23,Danny Green,placed on IL with tightness in left groin
2017-12-23,Shaun Livingston,placed on IL with sore right knee
2017-12-25,Kadeem Allen,placed on IL
2017-12-25,Semi Ojeleye,placed on IL with sore back
2017-12-25,Lonzo Ball,placed on IL with sprained left shoulder
2017-12-26,Rashad Vaughn,placed on IL
2017-12-26,Tony Bradley,placed on IL
2017-12-26,Jamel Artis,placed on IL
2017-12-26,Nikola Vucevic,placed on IL with fractured left hand
2017-12-26,Juancho Hernangomez,placed on IL
2017-12-26,Avery Bradley,placed on IL with strained adductor in right groin
2017-12-26,Malcolm Miller,placed on IL
2017-12-26,Brandon Paul,placed on IL
2017-12-26,Danuel House Jr.,placed on IL with foot injury
2017-12-27,Jaylen Brown,placed on IL
2017-12-27,Brandan Wright,placed on IL with left quadricep injury
2017-12-27,Joakim Noah,placed on IL
2017-12-27,Victor Oladipo,placed on IL with sore right knee
2017-12-27,Quinn Cook,placed on IL
2017-12-28,Jacob Pullen,placed on IL
2017-12-28,James Michael McAdoo,placed on IL
2017-12-28,Caleb Swanigan,placed on IL
2017-12-28,Kadeem Allen,placed on IL
2017-12-28,Damyean Dotson,placed on IL
2017-12-28,Jonathan Isaac,placed on IL with sore right ankle
2017-12-28,Reggie Jackson (Shon),placed on IL with sprained right ankle
2017-12-28,Clint Capela,placed on IL with fractured right orbital bone
2017-12-28,Demetrius Jackson,placed on IL
2017-12-28,Jeff Teague,placed on IL with sprained MCL in left knee
2017-12-29,Dion Waiters,placed on IL with sprained left ankle
2017-12-29,Paul George,placed on IL with sore left knee
2017-12-29,Omri Casspi,placed on IL with sprained right ankle
2017-12-30,Justin Anderson,placed on IL with shin splints
2017-12-30,Noah Vonleh,placed on IL
2017-12-30,Chandler Parsons,placed on IL with sore right knee
2017-12-30,Vincent Hunter,placed on IL
2017-12-30,Charles Cooke,placed on IL
2017-12-30,Rudy Gay,placed on IL with bursitis in right heel
2017-12-30,Kevon Looney,placed on IL
2017-12-31,Jabari Bird,placed on IL
2017-12-31,Ivan Rabb,placed on IL
2017-12-31,Andre Roberson,placed on IL with patellar tendinitis in left knee
2018-01-01,Thomas Bryant,placed on IL
2018-01-01,Bruno Caboclo,placed on IL
2018-01-01,Lorenzo Brown,placed on IL
2018-01-02,Ante Zizic,placed on IL
2018-01-02,Frank Mason,placed on IL with bruised right heel
2018-01-02,Ron Baker,placed on IL with fractured orbital bone
2018-01-03,Noah Vonleh,placed on IL
2018-01-03,Vander Blue,placed on IL
2018-01-03,Caris LeVert,placed on IL with strained left groin
2018-01-03,Stanley Johnson,placed on IL with strained right hip flexor
2018-01-03,James Harden,placed on IL with strained left hamstring
2018-01-03,Danny Green,placed on IL with tightness in left groin
2018-01-03,Alex Abrines,placed on IL with strained right groin
2018-01-03,Andre Iguodala,placed on IL with stiffness in lower back
2018-01-03,Omri Casspi,placed on IL with bruised rib / strained back
2018-01-03,Chris McCullough,placed on IL
2018-01-03,Chinanu Onuaku,placed on IL with sinus surgery
2018-01-04,Austin Rivers,placed on IL with right ankle / right heel injury
2018-01-04,Jamil Wilson,placed on IL
2018-01-04,Nene,placed on IL with bruised right knee
2018-01-04,Zhou Qi,placed on IL
2018-01-04,Kevin Durant,placed on IL with strained right calf
2018-01-05,Marcus Morris,placed on IL with rehab of left knee
2018-01-05,Andrew Harrison,placed on IL with sore left shoulder
2018-01-05,Alex Caruso,placed on IL
2018-01-05,Darrun Hilliard,placed on IL
2018-01-05,DeAndre' Bembry,placed on IL with strained left groin
2018-01-06,Zach Randolph,placed on IL reecovering from oral surgery
2018-01-06,Bojan Bogdanovic,placed on IL with sprained left ankle
2018-01-06,Ike Anigbogu,placed on IL
2018-01-06,Otto Porter Jr.,placed on IL with strained right hip
2018-01-07,Damian Lillard,placed on IL with strained right calf
2018-01-07,Michael Beasley,placed on IL with sprained left ankle
2018-01-07,Kawhi Leonard,placed on IL with partial tear in left shoulder
2018-01-07,Isaiah Canaan,placed on IL with strained left adductor
2018-01-07,Daniel Hamilton,placed on IL
2018-01-08,Blake Griffin,placed on IL with concussion
2018-01-08,Luke Babbitt,placed on IL
2018-01-08,Jack Cooley,placed on IL
2018-01-08,JaKarr Sampson,placed on IL
2018-01-08,DeMarre Carroll,placed on IL with sprained right knee
2018-01-08,Jacob Wiley,placed on IL
2018-01-09,Georgios Papagiannis,placed on IL with upset stomach
2018-01-09,Kyle Lowry,placed on IL with bruised tailbone
2018-01-10,Thomas Bryant,placed on IL
2018-01-10,Klay Thompson,placed on IL
2018-01-11,Alfonzo McKinnie,placed on IL with swollen right knee
2018-01-12,Marco Belinelli,placed on IL with sprained left ankle
2018-01-12,Damyean Dotson,placed on IL
2018-01-12,Ramon Sessions,placed on IL
2018-01-12,Josh Jackson,placed on IL with strained right hip
2018-01-12,Marquese Chriss,placed on IL with strained right hip flexor
2018-01-12,Omri Casspi,placed on IL with sore lower back
2018-01-13,C.J. Williams,placed on IL
2018-01-13,Malachi Richardson,placed on IL
2018-01-13,Thomas Bryant,placed on IL
2018-01-13,Jalen Jones,placed on IL
2018-01-13,Torrey Craig,placed on IL
2018-01-13,Stanley Johnson,placed on IL with hip injury
2018-01-13,Brandon Paul,placed on IL
2018-01-13,Darrun Hilliard,placed on IL
2018-01-13,Quinn Cook,placed on IL
2018-01-14,Ron Baker,placed on IL
2018-01-14,Ben Moore,placed on IL
2018-01-14,T.J. Warren,placed on IL with sore lower back
2018-01-15,Georges Niang,placed on IL
2018-01-15,Thabo Sefolosha,placed on IL with surgery on right knee (out for season)
2018-01-15,Tim Hardaway Jr.,placed on IL
2018-01-15,Matt Costello,placed on IL
2018-01-15,Andrew White III,placed on IL
2018-01-16,Juancho Hernangomez,placed on IL
2018-01-17,Kobi Simmons,placed on IL
2018-01-17,Myke Henry,placed on IL
2018-01-17,Tyler Johnson,placed on IL with sprained left ankle
2018-01-17,Skal Labissiere,placed on IL with strained left shoulder
2018-01-17,Joakim Noah,placed on IL
2018-01-17,Lonzo Ball,placed on IL with sore/sprained left knee
2018-01-17,James Webb III,placed on IL
2018-01-17,Milton Doyle,placed on IL
2018-01-17,Jamal Murray,placed on IL with concussion
2018-01-17,Fred VanVleet,placed on IL with bruised right knee
2018-01-17,Kawhi Leonard,placed on IL recovering from right quadriceps injury (out for season)
2018-01-17,Kyle Singler,placed on IL
2018-01-17,Andre Iguodala,placed on IL with bruised left calf
2018-01-17,Draymond Green,placed on IL with sore right shoulder
2018-01-18,Demetrius Jackson,placed on IL with strained left adductor
2018-01-18,Richaun Holmes,placed on IL with gastroenteritis
2018-01-18,Ante Zizic,placed on IL
2018-01-18,Kyrie Irving,placed on IL with sore left shoulder
2018-01-18,Chinanu Onuaku,placed on IL with sinus surgery
2018-01-18,Markel Brown,placed on IL
2018-01-19,James Ennis III,placed on IL with right calf injury
2018-01-19,Tony Bradley,placed on IL
2018-01-19,Kentavious Caldwell-Pope,placed on IL with strained right Achilles
2018-01-19,Juancho Hernangomez,placed on IL
2018-01-19,Kahlil Felder,placed on IL
2018-01-19,Reggie Hearn,placed on IL
2018-01-19,Lorenzo Brown,placed on IL
2018-01-19,Malcolm Miller,placed on IL
2018-01-19,Davon Reed,placed on IL
2018-01-20,J.J. Redick,placed on IL with left fibula injury (DTD)
2018-01-20,Jerryd Bayless,placed on IL with sore left wrist
2018-01-20,Giannis Antetokounmpo,placed on IL with sore right knee
2018-01-20,Kris Dunn,placed on IL with concussion
2018-01-20,Isaiah Taylor,placed on IL
2018-01-20,Tyler Cavanaugh,placed on IL
2018-01-20,Jordan Bell,placed on IL with left ankle inflammation
2018-01-21,Jarell Eddie,placed on IL
2018-01-21,Kadeem Allen,placed on IL
2018-01-21,Gary Payton II,placed on IL
2018-01-22,Xavier Munford,placed on IL
2018-01-22,JaMychal Green,placed on IL with right ankle injury
2018-01-22,Josh Magette,placed on IL
2018-01-22,Devin Harris,placed on IL with concussion
2018-01-22,Kenneth Faried,placed on IL with sore left ankle
2018-01-23,Channing Frye,placed on IL with strained abdominal
2018-01-23,Guerschon Yabusele,placed on IL
2018-01-23,Kyle O'Quinn,placed on IL with bruised left calf
2018-01-23,Nigel Hayes,placed on IL
2018-01-23,Derrick White,placed on IL
2018-01-24,Jalen Jones,placed on IL
2018-01-25,Tim Hardaway Jr.,placed on IL
2018-01-26,Malcolm Brogdon,placed on IL with sore right calf
2018-01-26,Jawun Evans,placed on IL with sore lower abdominal
2018-01-26,T.J. Leaf,placed on IL with sprained right ankle
2018-01-26,Alex Len,placed on IL with sore right ankle
2018-01-26,Kobi Simmons,placed on IL
2018-01-27,Marcus Smart,placed on IL with right hand injury
2018-01-27,Rondae Hollis-Jefferson,placed on IL with strained right groin
2018-01-27,Patrick McCaw,placed on IL with strained back
2018-01-27,John Wall (Hildred),placed on IL with sore left knee
2018-01-28,Skal Labissiere,placed on IL with strained left shoulder
2018-01-28,Willie Cauley-Stein,placed on IL with bruised right knee
2018-01-28,Ivica Zubac,placed on IL
2018-01-28,Thomas Bryant,placed on IL
2018-01-28,Andre Roberson,placed on IL recovering from surgery on left knee to repair torn patellar tendon (out for season)
2018-01-29,James Ennis III,placed on IL with right calf injury
2018-01-29,Johnathan Motley,placed on IL
2018-01-29,Jose Juan Barea,placed on IL with strained left oblique
2018-01-29,Danuel House Jr.,placed on IL
2018-01-29,Devin Booker,placed on IL with bruised right rib
2018-01-29,Marquese Chriss,placed on IL with sprained left ankle
2018-01-29,Ben Moore,placed on IL
2018-01-30,Cedi Osman,placed on IL
2018-01-30,Avery Bradley,placed on IL with sore right groin/hamstring
2018-01-30,Caris LeVert,placed on IL with sore left groin
2018-01-30,Mason Plumlee,placed on IL with strained right calf
2018-01-30,DeMarcus Cousins,placed on IL recovering from surgery to repair torn left Achilles tendon (out for season)
2018-01-30,C.J. Miles,placed on IL with sore right knee
2018-01-30,R.J. Hunter,placed on IL
2018-01-30,Trevor Ariza,placed on IL with sprained left hamstring
2018-01-30,Troy Williams,placed on IL
2018-01-31,Larry Drew II,placed on IL
2018-01-31,Nikola Mirotic,placed on IL
2018-01-31,Kevin Love,placed on IL with fractured left hand
2018-01-31,Kyrie Irving,placed on IL with bruised right quadriceps
2018-01-31,Marvin Williams,placed on IL with sprained left ankle
2018-01-31,Ron Baker,placed on IL with dislocated right shoulder (out for season)
2018-01-31,Alex Len,placed on IL with sore right ankle
2018-01-31,Greg Monroe,placed on IL
2018-02-01,Eric Bledsoe,placed on IL with sore left ankle
2018-02-01,Mario Chalmers,placed on IL with left hamstring injury
2018-02-01,Eric Gordon,placed on IL with sore lower back
2018-02-02,James Young,placed on IL
2018-02-02,Timothe Luwawu-Cabarrot,placed on IL with gastroenteritis
2018-02-02,Marshall Plumlee,placed on IL
2018-02-02,Isaiah Whitehead,placed on IL
2018-02-02,Isaiah Canaan,placed on IL with fractured left ankle
2018-02-02,Lorenzo Brown,placed on IL
2018-02-02,Malcolm Brogdon,placed on IL with partially torn quadriceps tendon in left leg
2018-02-03,Quinn Cook,placed on IL
2018-02-04,Shabazz Napier,placed on IL with sore left big toe
2018-02-04,D.J. Wilson,placed on IL
2018-02-04,Marquese Chriss,placed on IL
2018-02-04,Myke Henry,placed on IL
2018-02-04,Xavier Munford,placed on IL
2018-02-05,Evan Turner,placed on IL with left calf injury
2018-02-05,Georges Niang,placed on IL
2018-02-05,Harrison Barnes,placed on IL with sprained left ankle
2018-02-05,Brice Johnson,placed on IL
2018-02-05,Darren Collison,placed on IL recovering from arthroscopic surgery on left knee
2018-02-06,Matthew Dellavedova,placed on IL with sprained right ankle
2018-02-06,Shane Larkin,placed on IL with sore right knee (DTD)
2018-02-06,DeAndre' Bembry,placed on IL with strained left adductor
2018-02-06,Quincy Acy,placed on IL with strained right middle finger
2018-02-06,Troy Williams,placed on IL
2018-02-06,Danuel House Jr.,placed on IL
2018-02-06,Devin Booker,placed on IL with left hip pointer
2018-02-06,Damian Jones,placed on IL
2018-02-07,Iman Shumpert,placed on IL with plantar fasciitis in left foot (out for season)
2018-02-07,Caris LeVert,placed on IL with sprained right knee
2018-02-07,Darrun Hilliard,placed on IL
2018-02-07,Amile Jefferson,placed on IL
2018-02-08,Kristaps Porzingis,placed on IL with torn ACL in left knee (out for season)
2018-02-08,Carmelo Anthony,placed on IL with sprained right ankle
2018-02-08,Russell Westbrook,placed on IL with sprained left ankle
2018-02-08,Wade Baldwin IV,placed on IL
2018-02-09,Ike Anigbogu,placed on IL
2018-02-10,(William) Tony Parker,placed on IL with tightness in back
2018-02-10,Milton Doyle,placed on IL
2018-02-11,Ricky Rubio,placed on IL with sore left hip
2018-02-11,T.J. Leaf,placed on IL with sore left calf
2018-02-11,Brice Johnson,placed on IL
2018-02-12,Antonio Blakeney,placed on IL
2018-02-12,Kahlil Felder,placed on IL
2018-02-12,Reggie Hearn,placed on IL
2018-02-12,LaMarcus Aldridge,placed on IL with sore right knee
2018-02-12,Alec Peters,placed on IL
2018-02-12,Danuel House Jr.,placed on IL
2018-02-12,Tyler Ulis,placed on IL with lower back injury
2018-02-12,Draymond Green,placed on IL with sprained left index finger
2018-02-13,John Henson,placed on IL with sore right hamstring
2018-02-13,P.J. Dozier,placed on IL
2018-02-13,Daniel Hamilton,placed on IL
2018-02-14,Justin Anderson,placed on IL with sprained right ankle
2018-02-14,Omer Asik,placed on IL
2018-02-14,Wayne Selden Jr.,placed on IL with sore right knee
2018-02-14,Ersan Ilyasova,placed on IL with sprained right shoulder
2018-02-14,Patrick McCaw,placed on IL with fractured left wrist
2018-02-14,Tim Frazier,placed on IL recovering from surgery to repair fractured nose
2018-02-15,Alex Caruso,placed on IL
2018-02-15,Torrey Craig,placed on IL with hamstring injury
2018-02-22,Justin Holiday,placed on IL
2018-02-22,Robin Lopez,placed on IL
2018-02-22,Ryan Arcidiacono,placed on IL
2018-02-22,Avery Bradley,placed on IL with athletic pubalgia / sports hernia (out for season)
2018-02-22,De'Aaron Fox,placed on IL with conjunctivitis / pink eye
2018-02-22,Jack Cooley,placed on IL
2018-02-23,Kadeem Allen,placed on IL
2018-02-23,Erik McCree,placed on IL
2018-02-23,Gary Payton II,placed on IL
2018-02-23,Jalen Jones,placed on IL
2018-02-23,Johnathan Motley,placed on IL
2018-02-23,Ben Moore,placed on IL
2018-02-23,Ike Anigbogu,placed on IL
2018-02-23,Markel Brown,placed on IL
2018-02-23,Darrun Hilliard,placed on IL
2018-02-23,Derrick White,placed on IL
2018-02-23,Tyson Chandler,placed on IL with neck spasms
2018-02-24,Aron Baynes,placed on IL with sprained left elbow
2018-02-24,Guerschon Yabusele,placed on IL
2018-02-24,Tyreke Evans,placed on IL with right rib injury
2018-02-24,JaKarr Sampson,placed on IL
2018-02-24,Lonzo Ball,placed on IL with sore left knee
2018-02-24,Thomas Bryant,placed on IL
2018-02-24,Jimmy Butler,placed on IL with meniscus injury in right knee
2018-02-26,Antonius Cleveland,placed on IL with left ankle injury
2018-02-26,Alex Caruso,placed on IL
2018-02-26,Isaiah Whitehead,placed on IL
2018-02-26,James Webb III,placed on IL
2018-02-26,Malachi Richardson,placed on IL
2018-02-26,Kevon Looney,placed on IL
2018-02-27,Justin Holiday,placed on IL
2018-02-27,Jeff Green,placed on IL with sore lower back
2018-02-27,Jordan Mickey,placed on IL
2018-02-27,Juancho Hernangomez,placed on IL
2018-02-27,Monte Morris,placed on IL
2018-02-28,Tyrone Wallace,placed on IL
2018-02-28,Deyonta Davis,placed on IL with left ankle injury
2018-02-28,Kobi Simmons,placed on IL
2018-02-28,Cody Zeller,placed on IL with sore left knee
2018-02-28,Pau Gasol,placed on IL with bruised left knee
2018-02-28,Davon Reed,placed on IL
2018-02-28,T.J. Warren,placed on IL with tailbone injury / concussion
2018-03-01,Tyler Johnson,placed on IL with bruised left quadricep
2018-03-01,Channing Frye,placed on IL with recovering from appendectomy
2018-03-01,Josh Hart,placed on IL with fractured left hand
2018-03-02,Arron Afflalo,placed on IL
2018-03-02,Ogugua Anunoby,placed on IL with sprained right ankle
2018-03-02,Tyson Chandler,placed on IL with neck spasms
2018-03-02,Devin Robinson,placed on IL
2018-03-02,Jason Smith,placed on IL
2018-03-03,Maurice Harkless,placed on IL with sore left knee
2018-03-03,Jeff Green,placed on IL with sore lower back
2018-03-03,Andrew Harrison,placed on IL with right wrist injury
2018-03-03,Willie Cauley-Stein,placed on IL with strained lower back
2018-03-03,Brandon Ingram,placed on IL with strained left hip flexor
2018-03-03,Brandon Paul,placed on IL
2018-03-03,LaMarcus Aldridge,placed on IL with sprained right ankle
2018-03-04,Wesley Matthews,placed on IL with left hip injury
2018-03-05,Tristan Thompson,placed on IL with sprained right ankle
2018-03-05,Kyrie Irving,placed on IL with sore left knee
2018-03-05,Jordan Mickey,placed on IL
2018-03-05,Rashad Vaughn,placed on IL with sore right knee
2018-03-05,Derrick White,placed on IL
2018-03-05,Matt Costello,placed on IL
2018-03-05,Troy Daniels,placed on IL with hyperextended right knee
2018-03-06,Malcolm Delaney,placed on IL with sprained left ankle (out for season)
2018-03-06,Michael Carter-Williams,placed on IL with sprained left shoulder (out for season)
2018-03-06,Nigel Hayes,placed on IL
2018-03-06,Brandan Wright,placed on IL with sore right knee
2018-03-06,Kyle Singler,placed on IL
2018-03-06,David West,placed on IL with cyst in right arm
2018-03-07,Tyler Zeller,placed on IL with sore back
2018-03-07,Stanley Johnson,placed on IL with back spasms
2018-03-08,Derrick Jones Jr.,placed on IL
2018-03-08,Davon Reed,placed on IL
2018-03-08,T.J. Warren,placed on IL with back spasms
2018-03-08,Andre Iguodala,placed on IL with sprained left wrist
2018-03-08,Jordan Bell,placed on IL with sprained right ankle
2018-03-09,Wade Baldwin IV,placed on IL
2018-03-09,Jarell Eddie,placed on IL
2018-03-09,Omer Asik,placed on IL
2018-03-09,Danilo Gallinari,placed on IL with fractured right hand
2018-03-09,Mario Chalmers,placed on IL with right hamstring injury
2018-03-09,Myke Henry,placed on IL
2018-03-09,De'Aaron Fox,placed on IL with rehab of knee / back injury
2018-03-09,Evan Fournier,placed on IL with sprained MCL in left knee (out for season)
2018-03-09,Mason Plumlee,placed on IL
2018-03-09,Wilson Chandler,placed on IL with sore right hip
2018-03-09,Alex Poythress,placed on IL
2018-03-09,Delon Wright,placed on IL with sore right big toe
2018-03-09,Stephen Curry,placed on IL with sprained right ankle
2018-03-10,Hassan Whiteside,placed on IL with sore left hip
2018-03-10,Cody Zeller,placed on IL with sore left knee (out for season)
2018-03-10,Dennis Smith Jr.,placed on IL with sore left knee
2018-03-10,Josh Jackson,placed on IL with stiffness in left knee
2018-03-10,Terrance Ferguson,placed on IL with concussion
2018-03-11,Cedi Osman,placed on IL with strained left hip
2018-03-11,Rodney Hood,placed on IL with strained lower back
2018-03-11,Jaylen Brown,placed on IL with concussion
2018-03-11,DeAndre' Bembry,placed on IL with strained abdominal
2018-03-11,Georges Niang,placed on IL
2018-03-11,Jack Cooley,placed on IL
